"","V1","V2","V3","V4"
"1",2003,0.0238941682405767,0.0348417744605903,0.00278816693976266
"2",2004,0.00584154895502433,0.00894416659148647,0
"3",2005,0,0,0
"4",2006,0.0173222690991633,0.0177297552979617,0.016561019249
"5",2007,0.00680483290638334,0.00894416659148647,0.00278816693976266
"6",2008,0.00776625192817984,0.00894416659148647,0.00556082935894904
"7",2009,0.00194736589352295,0,0.00556082935894904
"8",2010,0.0125673798952601,0.0177297552979617,0.00278816693976266
"9",2011,0.0294606713782481,0.0177297552979617,0.0506169986653634
"10",2012,0.0173222690991633,0.0177297552979617,0.016561019249
"11",2013,0.0840792136110863,0.11541257415575,0.0192577256393379
"12",2014,0.0519433334174048,0.0177297552979617,0.109799946864035
"13",2015,0.260583707139785,0.178035315261701,0.377277533132095
"14",2016,0.0413028564871953,0.0177297552979617,0.082393242496959
"15",2017,0,0,0
"16",2018,0,0,0
"17",2003,0.0238941682405767,0.0348417744605903,0
